रोपवाटिका.	नर्सरी
शिवाय माझ्याजवळ पुस्तकही नाही.	तशेंच म्हजे कडेन पुस्तकूय ना
श्यामने आईला आपली अडचण सांगितली.	श्यामान आवयक आपली समस्या सांगली
अरे मग भास्करचं पुस्तक आहे ना त्याच्याकडून पुस्तक मागून घे लिहून काढ आणि पाठ कर.	अरे मागीर भास्कराचें पुस्तक आसता ताचे कडल्यान पुस्तक मागून तें बरोवन वाचचें
आईने श्यामला सुचविले.	आवयन श्यामाक सुचयलें
श्यामला आईचे म्हणणे पटले.	श्यामान आवयचें म्हणणें मान्य केलें
त्याने मनातल्या मनात निश्चय केला.	ताणें मनांत थारायलें
कोऱ्या कागदांची एक वही तयार केली.	ताणें कोऱ्या कागदांची नोटबुक तयार केली
दुसऱ्या दिवशी सकाळीच श्याम भास्करच्या घरी गेला.	दुसऱ्या दिसा सकाळीं श्याम भास्कराच्या घरा गेलो
त्याने भास्करकडे पुस्तक मागितले.	ताणें भास्कराकडेन पुस्तक मागलें
भास्कर पुस्तक द्यायला तयार नव्हता.	भास्कर पुस्तक दिवपाक तयार नाशिल्लो
श्यामने त्याच्या आईला सांगितले.	श्यामान आवयक सांगलें
काकू भास्करला पुस्तक द्यायला सांगा हो मी माझ्या वहीत रामरक्षा लिहून घेतो.	भास्कर मावशेक म्हाका पुस्तक दिवपाक सांग हांव म्हज्या नोटबुकांत रामरक्षा बरयतलों
मला पण पाठ करायची आहे.	म्हाकाय पाठ करपाचो आसता
आज सुटी आहे.	आयज सुटी आसा
मी दिवसभर बसून लिहून काढेन.	दीसभर बसून बरोवंक सोदता
भास्करने आपल्या आईच्या सांगण्यावरून पुस्तक दिले.	आवयचे सांगणेन भास्करान हो ग्रंथ दिलो
श्याम पुस्तक घेऊन घरी आला.	श्याम पुस्तक घेवन घरा आयलो
लेखनाचे काम करण्याकरिता तो एका निवांत जागी बसला.	लेखनाचें काम करपाक तो शांत जाग्यार बसलो
त्याने दिवसभरात रामरक्षा पूर्ण लिहून काढली.	ताणें दिसाळ्यांत रामरक्षा पुराय बरयली
त्या दिवशी त्याला खूप आनंद झाला.	त्या दिसा तो खूब खूश आशिल्लो
श्यामने भास्करचे पुस्तक परत केले.	श्यामान भास्कराचें पुस्तक परत केलें
एका आठवड्यात रामरक्षा पाठ करायची असे त्याने ठरविले.	ताणें एका सप्तकांत रामरक्षा म्हणपाचें थारायलें
चार दिवसांपूर्वी परगावी गेलेले श्यामचे वडील घरी परतले.	चार दिसां पयलीं परदेशांत गेल्लो श्यामाचो बापूय घरा परतलो
हातपाय धुऊन घरात गेले.	हातपांय धुवन तो घरा गेलो
देवापुढे बसून श्याम अगदी खणखणीत आवाजात रामरक्षा म्हणत होता.	देवा मुखार बसून श्याम खूब व्हडल्या आवाजान रामरक्षा म्हणटालो
वडील त्याच्याकडे कौतुकाने पाहत राहिले.	बापायन ताचे कडेन तोखणायेचे नदरेन पळयलें
श्यामचे स्तोत्र म्हणून पूर्ण झाले.	श्यामाचें भजन म्हूण तें पुराय जालें
त्यांनी श्यामच्या पाठीवरून हात फिरविला आणि म्हट्ले.	ताणें श्यामाच्या फाटल्यान हात फिरयलो आनी म्हणलें
अरे तू केव्हा पाठ केलीस कोणी शिकवली तुला.	अरे केन्ना कोणें शिकयलें म्हण तुका शिकयलो
वाकप्रचार.	अलंकार
पाठीवरून हात फिरविणे  कौतुक करणे.	फाटीर हात चलोवप
प्रश्न.	प्रस्न
खालील प्रश्नांची उत्तरे प्रत्येकी एका वाक्यात लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी एका वाक्यांत बरोवप
श्यामला कोणत्या गोष्टीची खंत वाटे.	श्यामाक कित्याक पश्चाताप जालो
श्यामने कोणता निश्चय केला.	श्यामान कसलो निर्धार केलो
वडिलांना श्यामचे कौतुक का वाटले.	बापायन श्यामाची तोखणाय कित्याक केली
आईने श्यामला कोणता आशीर्वाद दिला.	आवयन श्यामाक कसलो आशिर्वाद दिलो
खालील प्रश्नांची उत्तरे प्रत्येकी दोनतीन वाक्यांत लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी दोन ते तीन वाक्यांनी बरोवप
भास्करवर श्याम का संतापला.	श्याम भास्कराचेर कित्याक रागार जालो
श्यामला रामरक्षा का पाठ म्हणता येत नव्हती.	श्यामलाक रामरक्षा म्हणपाक मेळ्ळी ना
आईने श्यामला रामरक्षा पाठ करण्याकरिता कोणता उपाय सुचविला.	आवयन श्यामाक रामरक्षा म्हणपाक कसलो उपाय सुचयलो
भास्करकडून पुस्तक मिळविण्यासाठी श्यामने काय केले.	भास्करा कडल्यान पुस्तक मेळोवपा खातीर श्यामान कितें केलें
रामरक्षा पाठ करण्याकरिता श्यामने काय केले.	श्यामान रामरक्षाचें पठण करपाक कितें केलें
व्यवसाय.	वेवसाय
खालील परिच्छेद वाचा ब त्यातील नामे शोधून लिहा.	सकयल दिल्लो परिच्छेद ब वाचून तातूंतलीं नांवां बरोवन दवरचीं
आज जांबावली गावच्या शाळेला सुटी होती.	जांबावली गांवांतली शाळा आयज बंद आशिल्ली
म्हणून कृष्णाला आनंद झाला होता.	म्हूण कृष्ण खुशाल जालो
दूध पिऊन बागेत गेला. झाडांना खत व पाणी घातले.	दूद पियेवन तो बागेंत गेलो झाडांक सुपीक करून उदक दिताले
बाबा खुश झाले.	दादलो खुशाल जालो
उपक्रम.	उपक्रम
साने गुरुजींचे श्यामची आई' हे पुस्तक मिळवून वाचा.	साने गुरुजीचें 'श्यामची आवय' मेळोवन वाचचें
त्यातील तुम्हाला आवडलेला प्रसंग वर्गात सांगा.	वर्गांतल्या तुज्या आवडीच्या प्रसंगा विशीं सांग
वाचनालयाचा तास सुरू झाला.	वाचनालयाचो तास सुरू जालो
वर्गशिक्षिका मुलांना घेऊन वाचनालयात गेल्या.	वर्गशिक्षक भुरग्यांक घेवन वाचनालयांत गेलो
पूर्वी दिलेली पुस्तके जमा करून त्या नवीन पुस्तके द्यायच्या.	ते पयलीं दिल्लें पुस्तकां एकठांय करून तांकां नवीं पुस्तकां दिताले
पण आज नेहमीप्रमाणे बदलून द्यायला त्यांनी सुरुवातच केली नाही.	पूण आयज सदचे भशेन ते बदलूंक लागले नात
आतापर्यंत दिलेली सर्व पुस्तके कोणी वाचली आहेत शिक्षिकेने मुलांना प्रश्न केला.	आतां मेरेन दिल्लें सगलें पुस्तकां वाचपी भुरग्यांक शिक्षकान विचारलें
फक्त चारच मुलांनी हात वर केले.	फकत चार भुरग्यांनी हात वयर काडले
शर्मद तुला दिलेल्या पुस्तकांपैकी कोणते पुस्तक अधिक आवडले" शर्मदने आपल्याला वीरकथांचे पुस्तक आवडल्याचे सांगितले.	शर्मद तुमी तुमकां खंयचें पुस्तक सगळ्यांत चड दिलें" शर्मद हांणी वीर कथांचें पुस्तक आवडलें अशें सांगलें
इतरांनीही आपल्याला आवडलेल्या पुस्तकांची नावे सांगितली.	हेरांनी तांकां आवडिल्ल्या पुस्तकांचीं नांवांय सांगल्यांत
बाई मला मिळालेले प्रत्येक पुस्तक मी बाचतोच.	मेळपी दर एक पुस्तक वाचता
शिवाय प्रत्येक पुस्तकातील महत्त्वाचे विचार मी एक वहीत टिपून ठेवतो.	तशेंच दर एका पुस्तकांतल्यो म्हत्वाच्यो कल्पना हांव एका नोटबुकांत दवरता
महेशने अधिक माहिती सांगितली.	महेश हांणी चड म्हायती दिली
बाई मी पण एक बही ठेवली आहे.	हांवें एक भयण दवरल्या बायल
त्या बहीत मी वाचलेल्या प्रत्येक पुस्तकाचे नावमला आवडलेली वाक्ये तसेच त्यातील कथा मी थोडक्यात लिहिते.	त्या पुस्तकांत हांव वाचिल्ल्या दर एका पुस्तकाची नांवां तशेंच तातूंतल्यो कथा थोडक्यांत बरयता
सुझान म्हणाली.	सुसान हांणी सांगलें
रे व्वा शाब्बास.	अरे वाव शाब्बोस
शिक्षिकेला खूपच आनंद झाला.	शिक्षक खूब खूश जालो
तुम्ही दोघे तुमच्या वह्या एकदा वर्गात घेऊन या.	तुमी दोगांय एकदां आपल्यो वह्या वर्गांत हाडटात
शिक्षिका म्हणाल्या.	शिक्षकान सांगलें
वाचनालयाचा तास असल्याने त्या दोघांनीही वह्या आणल्या होत्या.	वाचनालयाचो तास आशिल्ल्यान दोगांयनी वह्या हाडल्यो
त्यांनी त्यांच्या वह्या घेतल्या.	तांणी तांची पुस्तकां घेतलीं
प्रत्येकाने आपल्या वहीला सुंदर वेष्टण घातले होते.	दरेकल्यान आपल्या वह्यांक सोबीत वाडो घाल्लो
वहीच्या आत पहिल्या पानावर सुवाच्य अक्षरात आपले नाव लिहिले होते.	नोटबुकाच्या भितर ताचें नांव पयल्या पानाचेर सुवाच्य अक्षरांनी बरयल्लें आसतालें
वाचलेल्या प्रत्येक पुस्तकाचे नाव लेखकाचे नाव पुस्तकातील महत्त्वाची वाक्ये सुविचार इत्यादींची व्यवस्थितपणे नोंद केलेली होती.	वाचिल्ल्या दर एका पुस्तकाचें नांव लेखकाचे नांव आसतालें पुस्तकांतलीं म्हत्वाचीं वाक्यां विचार आदी बारीकसाणेन नोंद करताले
शिक्षिकेने बह्या सर्व मुलांना दाखवल्या.	शिक्षकान सगल्या भुरग्यांक पुस्तकां दाखयलीं
ही कल्पना मुलांनाही फार आवडली.	भुरग्यांकूय ही कल्पना खूब आवडटाली
आजपासून मी एक नवीन योजना सुरू करणार आहे.	आयच्यान नवी येवजण सुरू करतलों
शिक्षिका म्हणाल्या.	शिक्षकान सांगलें
वाचनालयाच्या प्रत्येक पुस्तकात मी एकेक प्रश्नावली ठेवली आहे.	वाचनालयाच्या दरेका पुस्तकांत हांवें एक प्रश्नावली दवरल्या
पुस्तकाचे नाव पुस्तकाचे लेखक मजकूर यासंबंधीचे ते प्रश्न असतील.	ते प्रस्न पुस्तकाच्या लेखक मजकूरा विशीं आसतले
प्रश्नावली नियमितपणे सोडविणाऱ्या विद्यार्थ्यांना मी वार्षिक परीक्षेत खास गुण देणार आहे.	प्रश्नावली नेमान सोडोवपी विद्यार्थ्यांक वर्सुकी परिक्षेंत विशेश गूण दितलों
पूर्ण पुस्तक वाचून झाल्यावरच त्या प्रश्नांची उत्तरे लिहिता येतील.	पुराय पुस्तक वाचल्या उपरांतूच त्या प्रस्नांच्यो जापो बरोवंक मेळटात
बाईंनी आपली योजना स्पष्ट केली.	बायलेन आपली येवजण सांगली
पूर्वी दिलेली पुस्तके त्यांनी आता जमा करून घेतली.	तांणी आतां पयलीं दिल्लीं पुस्तकां एकठांय केल्यांत
नंतर प्रत्येकाला नवीन पुस्तक दिले.	तेन्ना सगळ्यांक नवें पुस्तक दिलें
प्रत्येक पुस्तकात एकेक प्रश्नाबली होती.	दर एका पुस्तकांत एक प्रस्न आसतालो
त्यांनी एक प्रश्नाबली घेऊन ती कशी सोडवाबी ह्याबद्दल सविस्तर मार्गदर्शन केले.	तांणी एक प्रस्न घेवन तो कसो सोडोवचो हाचेर सविस्तर मार्गदर्शन केलें
प्रत्येकाने त्यासाठी खास एक बही ठेवावी अशी सूचना केली.	दरेकल्यान ते खातीर खाशेलें पुस्तक दवरपाची सुचोवणी केली
